rank,name,archetype,tier,fit_score,ranked_score,commune,postcode,address,lat,lon,phone,email,website,reasoning,sources,source_id
270,Les Ruches,treehouse_hotel,A,8.0,11.20,,,,48.6438926,2.1558211,,,,Treehouse hotel archetype indicates mature trees on-site and guest base interested in nature-based activities; tier A positioning supports discretionary spending for experiential additions.,osm,osm:node/10032027538
271,Gite La Viorne,treehouse_hotel,A,8.0,11.20,Verdelot,77510,3 La Croix Viornée,48.8816122,3.3567909,,,,Treehouse hotel in Verdelot archetype strongly implies mature trees and adventure-seeking clientele; tier A with clear outdoor focus aligns well with rope-net positioning.,osm,osm:node/6967566817
272,Gîte du Frêne,treehouse_hotel,A,8.0,11.20,Fresnoy-le-Grand,02230,106 Rue du Petit Paris,49.9466657,3.4107495,+33 7 62 94 13 72,,http://www.gitedufrene.fr/,3-star treehouse hotel explicitly suggests on-site trees and outdoor leisure positioning; premium tier indicates budget availability and long-term control of property.,osm,osm:node/7000642241
273,Chez Chantal,treehouse_hotel,A,8.0,11.20,,,,47.8498805,4.9403886,,,,Treehouse hotel archetype with tier A status suggests mature trees and outdoor-focused guest expectations; strong product fit for experiential climbing infrastructure.,osm,osm:node/7056757656
274,Les Hirondelles de Gurgy,treehouse_hotel,A,8.0,11.20,,,,47.8490202,4.9404957,,,,Treehouse hotel with nature-inspired name suggests strong tree presence and family/adventure audience; tier A positioning supports $5k investment capacity.,osm,osm:node/7056773483
275,Les Calmines,treehouse_hotel,A,8.0,11.20,,,,47.7525756,4.78285,,,https://www.cotedor-tourisme.com/bourgogne/locations-de-vacances/gite-des-calmines_HLOBOU021990DITO_fiche.html,Treehouse hotel archetype indicates mature trees and outdoor leisure focus; tier A tier and peaceful name suggest premium positioning with discretionary budget.,osm,osm:node/7056809802
276,Le Pontaubeau,treehouse_hotel,A,8.0,11.20,,,,48.2493706,0.184319,,,,Treehouse hotel with tier A status and suggestive name implies mature trees; caters to leisure travelers seeking outdoor experiences and has means for amenity investments.,osm,osm:node/7188136159
277,La Clémenceraie,treehouse_hotel,A,8.0,11.20,Baroville,10200,7 Rue des Cravattes,48.1922114,4.7250307,,,,Treehouse hotel in Baroville with tier A status suggests mature trees and outdoor leisure positioning; strong fit for family/adventure activity installation.,osm,osm:node/7284299148
278,Gîte de la montjoie,treehouse_hotel,A,8.0,11.20,Saint-Denis-en-Val,45560,Rue du Baillis Groslot,47.889987,1.9940326,+33 6 32 28 27 56,lamontjoiegite45@gmail.com,https://5d77bbf3922dd.site123.me/,Treehouse hotel archetype strongly suggests mature trees on-site and an audience valuing adventure/nature; likely has discretionary budget for experiential amenities.,osm,osm:node/7319316070
279,Agnès et Francis Triquet,treehouse_hotel,A,8.0,11.20,Combleux,45800,3 Chemin de l'Église,47.9010354,1.9838129,+33 6 89 29 11 45,francis.triquet13@orange.fr,https://www.entreloireetcanal.fr/,Treehouse hotel in Combleux indicates mature trees and adventure-oriented clientele; premium positioning suggests budget for rope-net feature as differentiator.,osm,osm:node/10735074511
280,Gite Nature Loire et Chateaux Villandry,treehouse_hotel,A,8.0,11.20,Villandry,,La Robichère,47.3194206,0.4874483,,,,"Treehouse hotel at Villandry with nature/château branding; premium location and tier-A status suggest mature grounds, family audience, and budget for experience enhancements.",osm,osm:node/7898969599
281,Gite des Malins prés,treehouse_hotel,A,8.0,11.20,,,,49.9493974,4.7955014,,lesmalinspres@gmail.com,http://lesmalinspres.fr/index.php?page=accueil,3-star treehouse gite explicitly matches archetype and likely has mature trees; premium rating suggests budget and audience fit for rope-net installation.,osm,osm:node/7939591198
282,La Cabane Rose des Vents,treehouse_hotel,A,8.0,11.20,,,,47.4762262,4.4533856,+33 615 745 284,,https://les-lodges-du-canal-de-bourgogne.fr/la-cabane-rose-des-vents/,Treehouse-named 'La Cabane Rose des Vents' indicates mature trees and adventure positioning; tier-A implies discretionary budget for experiential features.,osm,osm:node/7977747253
283,La Cabane Rivage,treehouse_hotel,A,8.0,11.20,,,,47.476519,4.4524509,+33 615 745 284,,https://les-lodges-du-canal-de-bourgogne.fr/la-cabane-rivage/,Riverside cabin ('Cabane Rivage') treehouse hotel implies mature trees and family/adventure appeal; premium tier suggests budget for installations.,osm,osm:node/7977747258
284,La Maison Éclusière,treehouse_hotel,A,8.0,11.20,,,,47.4759525,4.45507,+33 615 745 284,,https://les-lodges-du-canal-de-bourgogne.fr/la-maison-eclusiere/,Treehouse hotel archetype strongly implies mature trees on-site and premium positioning with discretionary budget; nature-focused clientele values outdoor adventure activities.,osm,osm:node/7977747260
285,La Cabane Lagom,treehouse_hotel,A,8.0,11.20,,,,47.4757077,4.4557352,+33 615 745 284,,https://les-lodges-du-canal-de-bourgogne.fr/la-cabane-lagom/,"Treehouse hotel with established lodging model suggests mature trees, private land control, and affluent guests interested in nature-based experiences.",osm,osm:node/7977747261
286,Chalet n°63,treehouse_hotel,A,8.0,11.20,,,,48.2310822,3.1450778,,,,Treehouse hotel archetype indicates mature trees and premium outdoor positioning; guests actively seek immersive nature experiences compatible with rope-net installations.,osm,osm:node/8058992567
287,Darcey La Jolie,treehouse_hotel,A,8.0,11.20,,,1 Rue du Château,47.5499917,4.570231,,,https://www.gites-de-france.com/fr/bourgogne-franche-comte/cote-dor/darcey-la-jolie-21g997,Treehouse hotel implies on-site mature trees and established outdoor amenities budget; positioned as premium leisure operator with long-term land control.,osm,osm:node/8069496578
288,"La Réserve des Prés Verts, Cabane Luxe avec Jacuzzi Privatif",treehouse_hotel,A,8.0,11.20,Mont-Saint-Jean,21320,7 Rue Saute Chien,47.2991985,4.3918411,,,,Luxury cabane hotel with jacuzzi suggests high discretionary budget and mature outdoor grounds; likely tree-anchored or nature-integrated property near Mont-Saint-Jean.,osm,osm:node/8242400175
289,Gîte de Fontenille,treehouse_hotel,A,8.0,11.20,Brosses,89660,11,47.5264884,3.6840701,+33 3 86 32 40 13,,,"Treehouse hotel archetype in rural Brosses indicates mature trees, established land control, and clientele seeking adventure; strong budget capacity evident.",osm,osm:node/8263565164
290,Gîte des Remparts,treehouse_hotel,A,8.0,11.20,Éringes,21500,,47.5919799,4.4658432,+33 6 84 49 13 36,,https://www.gitedesremparts.com/,Treehouse hotel in Éringes implies mature trees and long-term property control; guests actively interested in nature-integrated experiences.,osm,osm:node/8285786961
291,The Wicker House,treehouse_hotel,A,8.0,11.20,,,,48.3217901,2.5972388,,,https://www.gites-seine-et-marne.com/location-vacances-Gite-The-Wicker-House-a-La-Chapelle-la-reine-77G493.html,Treehouse hotel archetype ('The Wicker House') strongly implies mature trees and premium outdoor infrastructure; positioned for adventure-seeking clientele.,osm,osm:node/8365122958
292,Gite du Lézard,treehouse_hotel,A,8.0,11.20,Larchant,77760,Rue de la Libération,48.2848724,2.5972519,,,,"Treehouse hotel in Larchant (rural, near forest-rich region) indicates mature trees and established leisure operator with appropriate discretionary budget.",osm,osm:node/8603226140
293,Les Iris,treehouse_hotel,A,8.0,11.20,Huppy,80140,18 Route de Liercourt,50.023065,1.7659398,,,,"Treehouse hotel in Huppy indicates mature trees, rural setting, and premium leisure positioning; guests likely value active outdoor experiences.",osm,osm:node/8371814773
294,Gite des quatre-vingts,treehouse_hotel,A,8.0,11.20,Huppy,80140,15 Rue d'Oisemont,50.0224566,1.7697577,,,,"Treehouse hotel in Huppy with established operations suggests mature trees, land ownership, and affluent guest base compatible with adventure installations.",osm,osm:node/8371844039
295,L'îlot au Bonheur,treehouse_hotel,A,8.0,11.20,,,,48.342732,2.5986172,+33 6 83 18 54 72,ilotbonheur@gmail.com,http://ilot-bonheur.com/,"Treehouse hotel ('L'îlot au Bonheur') implies mature trees, nature-focused branding, and premium leisure operator with discretionary budget capacity.",osm,osm:node/8393788492
296,L'Escale Bellifontaine,treehouse_hotel,A,8.0,11.20,,,,48.3437677,2.6046462,+33 6 16 84 07 94,escalebellifontaine@gmail.com,https://escalebellifontaine.fr/,"Treehouse hotel suggests established outdoor infrastructure, mature trees, and guests seeking adventure-oriented stays; strong budget positioning evident.",osm,osm:node/8524461246
297,La Martinière,treehouse_hotel,A,8.0,11.20,,,,48.342532,2.6010005,+33 6 08 99 34 09,lamartiniere77@free.fr,http://www.gite77ury.com,Treehouse hotel archetype indicates mature trees and premium outdoor positioning; established operator with likely long-term land control.,osm,osm:way/115279733
298,Le Clos des Hirondelles,treehouse_hotel,A,8.0,11.20,Le Hanouard,76450,4 Rue de la Filature,49.730353,0.6598791,+33 6 24 71 14 93,,https://leclosdeshirondelles.fr/,"Treehouse hotel in Le Hanouard indicates mature trees, rural positioning, and established leisure operator with guests seeking nature experiences.",osm,osm:node/8410166144
299,La Nouvelle Arche,treehouse_hotel,A,8.0,11.20,Aisey-sur-Seine,21400,2,47.7482582,4.5772046,,,https://la-nouvelle-arche.business.site/,Treehouse hotel along Seine implies mature trees and established premium leisure operations; positioned for adventure-seeking clientele with discretionary spend.,osm,osm:node/8425498298
300,Annexe du Prieuré,treehouse_hotel,A,8.0,11.20,,,1 Place Lucan,47.3463471,4.7984728,,,http://www.annexeduprieure.fr/,Treehouse hotel archetype strongly suggests mature trees on-site and outdoor infrastructure; likely attracts adventurous families and nature-lovers with discretionary budget for premium experiences. Trees-focused accommodation model aligns well with rope-net installation.,osm,osm:node/8570076100
301,Ferme des Olé-Ânes,treehouse_hotel,A,8.0,11.20,Mâlain,21410,30 Rue de la Gare,47.3261762,4.8089164,,coerrance@riseup.net,https://alternatives-agriculturelles.fr/oleanes/,Treehouse hotel in rural Mâlain suggests established outdoor grounds with mature trees and family-oriented positioning; rural setting with chalet model indicates long-term land control and budget capacity for amenity upgrades.,osm,osm:node/12330696712
302,Festina Lente,treehouse_hotel,A,8.0,11.20,Dion,5570,36 Avenue Belle Vue,50.1254256,4.8882271,,,https://festinalente-beauraing.be/,"Treehouse hotel in rural Dion with chalet model suggests mature grounds, family adventure market, and financial capacity for premium outdoor amenities; strong alignment with rope-net target customer.",osm,osm:node/8722435150
303,Château de Couplehaut,treehouse_hotel,A,8.0,11.20,,,,48.5062254,0.5048214,+33 233251486,,https://www.couplehaut.fr/,"Château-branded treehouse hotel suggests estate-level property with mature landscaping, trees, and premium positioning; likely long-term land control and discretionary budget for experiential upgrades.",osm,osm:node/8875077222
304,Gîtes de la Ballonière,treehouse_hotel,A,8.0,11.20,,,,47.2145445,0.3246814,,,https://www.labalonniere.fr/,"Gîtes property with treehouse hotel archetype and 'Ballonière' name (suggesting pastoral/aerial theme) implies mature grounds, family audience, and interest in experiential outdoor features.",osm,osm:node/8931394179
305,La Chenillière,treehouse_hotel,A,8.0,11.20,,,,47.3945187,1.1881976,,,https://www.lodge-park.fr,"Treehouse hotel with nature-evocative name 'La Chenillière' (caterpillar reference) suggests wooded property, family/adventure positioning, and alignment with experiential outdoor amenities.",osm,osm:node/9152593393
306,Robinson,treehouse_hotel,A,8.0,11.20,,,,47.5405445,0.7452722,,,https://www.gites-de-france.com/fr/centre-val-de-loire/indre-et-loire/robinson-37g10451,Name 'Robinson' evokes adventure/wilderness positioning; treehouse hotel archetype with strong tree presence; audience likely seeks active outdoor play; operator may invest in attractions.,osm,osm:node/9937019208
307,Nid des Bois,treehouse_hotel,A,8.0,11.20,,,,49.4821614,2.9327007,,,,'Nid des Bois' (wood nest) name directly evokes tree-based experience; treehouse hotel clearly indicates mature trees and adventure-seeking clientele; good fit for discretionary activity spend.,osm,osm:node/10159070924
308,Haut Perchoir,treehouse_hotel,A,8.0,11.20,,,,49.4825529,2.9351548,,,,'Haut Perchoir' (high perch) name and treehouse archetype indicate tree-based positioning; adventure-seeking family audience and elevated property concept suggest openness to climbing/rope infrastructure.,osm,osm:node/12668200287
309,Repaire du Trappeur,treehouse_hotel,A,8.0,11.20,,,,49.4813007,2.9336499,,,,'Repaire du Trappeur' (trapper's den) evokes wilderness/outdoor adventure; treehouse hotel archetype with likely mature trees; audience values active play; operator may invest in attractions.,osm,osm:node/12668200299
310,Belle Forêt,treehouse_hotel,A,8.0,11.20,,,,49.4814501,2.9347274,,,,"Treehouse hotel with strong likelihood of mature trees on-site and premium pricing model aligned with $5k budget. Target audience values adventure and outdoor experience, ideal for rope-net installation.",osm,osm:node/12668256009
311,Havre de Paix,treehouse_hotel,A,8.0,11.20,,,,49.4822073,2.9347067,,,,Treehouse hotel concept indicates mature trees and upscale positioning. Guests seeking immersive nature experiences represent perfect audience for aerial rope-net attractions.,osm,osm:node/12668256012
312,Temps Suspendu,treehouse_hotel,A,8.0,11.20,,,,49.4818347,2.9327523,,,,Treehouse hotel with nature-focused branding suggests mature forest setting and discretionary budget. High alignment with active outdoor play audience.,osm,osm:node/12668256041
313,Terre-et-ciel,treehouse_hotel,A,8.0,11.20,,,,49.4819815,2.9349684,,,,Treehouse accommodation model strongly indicates mature trees and premium guest expectations for adventure amenities. Budget and audience profile both favorable.,osm,osm:node/12668256080
314,Echappée Belle,treehouse_hotel,A,8.0,11.20,,,,49.4873234,2.9377144,,,,Treehouse hotel archetype with nature-oriented name suggests mature tree infrastructure and clientele valuing outdoor experiences. Premium positioning supports $5k investment.,osm,osm:way/1109218648
315,Souffle d’Emeraude,treehouse_hotel,A,8.0,11.20,,,,49.4864059,2.9359016,,,,Treehouse hotel with verdant branding indicates mature trees on-site and affluent guest base seeking active nature engagement. Strong fit for rope-net infrastructure.,osm,osm:way/1109218651
316,Le Refuge,treehouse_hotel,A,8.0,11.20,,,,49.4866669,2.9416482,,,,Treehouse hotel archetype with refuge/shelter branding indicates mature forest setting and premium guest expectations. Ideal audience and infrastructure for rope-net installation.,osm,osm:way/1109222531
317,École Buissonnière,treehouse_hotel,A,8.0,11.20,,,,49.4833472,2.9335632,,,,Treehouse hotel with playful outdoor-education branding indicates mature trees and family audience valuing active play. Premium positioning and target demographic are excellent fits.,osm,osm:way/1109763410
318,Halte Sauvage,treehouse_hotel,A,8.0,11.20,,,,49.487245,2.9390149,,,,"Treehouse hotel with wilderness-focused name suggests mature forest anchoring and affluent nature-seeking clientele. Strong alignment across trees, budget, and audience axes.",osm,osm:way/1110209401
319,Ecrin de Jade,treehouse_hotel,A,8.0,11.20,,,,49.4866059,2.9366028,,,,Treehouse hotel with nature-luxury positioning indicates mature trees and high-discretionary-spend clientele valuing adventure amenities. Excellent fit profile.,osm,osm:way/1110316796
320,Cahutte,treehouse_hotel,A,8.0,11.20,,,,49.4857643,2.9339118,,,,Treehouse hotel archetype with rustic branding suggests mature forest setting and guests seeking immersive outdoor experiences. Strong budget and audience alignment.,osm,osm:way/1110317796
321,Clair de Lune,treehouse_hotel,A,8.0,11.20,,,,49.4845057,2.9357802,,,,"Treehouse hotel with nature-evocative name indicates mature trees and premium clientele. Guests value atmospheric outdoor engagement, ideal for rope-net attraction.",osm,osm:way/1110317797
322,Colorado,treehouse_hotel,A,8.0,11.20,,,,49.484284,2.9360731,,,,Treehouse hotel archetype strongly suggests mature trees on-site and an audience seeking adventure/nature experiences. Premium chalet positioning indicates discretionary budget capacity for a rope-net installation.,osm,osm:way/1110538091
323,Ambre,treehouse_hotel,A,8.0,11.20,,,,49.4841501,2.9369927,,,,"Treehouse hotel archetype with tier-A positioning suggests established infrastructure, mature trees, and clientele seeking experiential outdoor activities. Budget and long-term control likely present.",osm,osm:way/1110538092
324,Grand Horizon,treehouse_hotel,A,8.0,11.20,,,,49.4842215,2.9381202,,,,"Treehouse hotel tier-A venue indicates mature trees, adventure-focused guests, and stable premium business model supporting $5k investment in on-site attractions.",osm,osm:way/1110538093
325,Les refuges des Catières,treehouse_hotel,A,8.0,11.20,Amance,,4 Ruelle des Catières,48.2948758,4.514429,+33 6 89 55 87 80,David.stepien@orange.fr,https://www.amancevilleaubois.fr/accueil.php?a=page404001/Les-refuges-des-Catieres,Treehouse hotel archetype in identified commune (Amance) with tier-A status strongly indicates mature trees and family-adventure audience. Premium positioning supports equipment investment.,osm,osm:node/10226375270
326,Les Maisons Maquets,treehouse_hotel,A,8.0,11.20,Rozoy-Bellevalle,02540,13 Route d'Essises,48.9292949,3.453236,+33 3 23 69 83 32,lesmaisonsmaquets@orange.fr,https://www.maisonsmaquets.fr/,Tier-A treehouse hotel in Rozoy-Bellevalle with 'Maisons' (houses) naming suggests multiple structures and mature grounds. Adventure/nature audience and premium budget likely.,osm,osm:node/10232624356
327,La Saboterie,treehouse_hotel,A,8.0,11.20,,,,47.2075071,1.5331616,,,,"Tier-A treehouse hotel with woodcraft naming (Saboterie suggests traditional/artisanal positioning) indicates mature grounds, nature-focused guests, and premium budget for experiential amenities.",osm,osm:node/10728639943
328,Chalet du Lièvre,treehouse_hotel,A,8.0,11.20,,,4 Hermitage,49.8094524,4.2287972,,,https://www.charme-traditions.com/fr/locations-de-vacances/org/83984/chalet-du-lievre,Tier-A treehouse hotel with animal-reference naming (Lièvre/hare) suggests sylvan/natural environment. Premium positioning and accommodation model indicate budget and long-term site control.,osm,osm:node/10763672904
329,La cabane du Perche,treehouse_hotel,A,8.0,11.20,,,,48.5059342,0.6285332,,,https://www.cabane-dans-arbres.com/index.html,Wilderness hut archetype ('cabane du Perche') explicitly signals forest/tree-based positioning and adventure-seeking clientele. Tier-A status supports equipment investment despite hut classification.,osm,osm:node/10790887818
330,La Ferme des Carrières,treehouse_hotel,A,8.0,11.20,,,,49.2255467,1.880092,+33 6 12 30 11 06,,http://www.fermedescarrieres.com,Tier-A treehouse hotel at farm venue (Carrières/farm setting) indicates agricultural grounds with mature trees and family-adventure positioning. Premium budget model supports installation.,osm,osm:node/10800203595
331,La Galopade,treehouse_hotel,A,8.0,11.20,,,,49.9058226,3.9679866,,,https://www.gites.fr/gites_gite-domaine-de-la-galopade_etreaupont_h5093151.htm,Tier-A treehouse hotel with equestrian naming (Galopade/gallop) suggests active outdoor recreation culture and rural green space with mature trees. Premium positioning supports $5k investment.,osm,osm:node/10812174504
332,Utopias Campus,treehouse_hotel,A,8.0,11.20,Chaignes,27120,8 Chemin du Bois Ménou,49.0113131,1.4560695,+33 6 65 59 68 49,contact@utopias-campus.com,https://www.utopias-campus.com/,"Campus-style venue (Utopias) in treehouse-hotel tier suggests educational/group operations with outdoor space and values-driven positioning. Rural Chaignes location and 'campus' framing indicate trees, long-term control, and budget for play infrastructure.",osm,osm:node/10991551355
333,Gite d'Etape Ligny-le-Ribault,treehouse_hotel,A,8.0,11.20,,,,47.683065,1.7809422,,,https://www.gites-de-france.com/fr/centre-val-de-loire/loiret/gite-detape-h45g002412,"Group gîte ('Gîte de groupe') in treehouse-hotel tier explicitly targets large parties, suggesting strong outdoor infrastructure, mature trees, and budget for group experiences. High likelihood of discretionary spending.",osm,osm:node/11235274608
334,Gîte du Port Guyet,treehouse_hotel,A,8.0,11.20,,,,47.280713,0.1172618,+33 6 10 85 30 08,giteduportguyet@gmail.com,https://www.giteduportguyet.com/,"3-star rated gîte in treehouse-hotel tier with port/waterfront setting ('Port Guyet') implies premium rural venue with trees, established customer base with discretionary income, and outdoor appeal.",osm,osm:node/11251362225
335,Asinarias et Rose,treehouse_hotel,A,8.0,11.20,Saint-Denis-en-Val,45560,810 Rue du Caillot,47.8652799,1.9782372,,,https://www.gites-de-france.com/fr/centre-val-de-loire/loiret/asinarias-et-rose-saint-denis-en-val-en-val-de-loire-h45g009562,Treehouse hotel archetype in Saint-Denis-en-Val with 'Asinarias' (animal contact) suggests family/adventure positioning and strong outdoor focus; mature trees highly probable.,osm,osm:node/11801780682
336,Ecolodge Entre Mer & Campagne,treehouse_hotel,A,8.0,11.20,Octeville-sur-Mer,76930,4 Chemin du Triangle,49.5458723,0.1000478,+33 6 60 50 41 32,,https://www.ecolodge-entremeretcampagne.fr/,"Ecolodge archetype near Octeville-sur-Mer with 'Entre Mer & Campagne' positioning signals premium outdoor/nature experience, likely mature trees, and family adventure appeal.",osm,osm:node/11807705899
337,Le temps d'une bulle,treehouse_hotel,A,8.0,11.20,,,,49.1112526,3.914424,,,https://www.tourisme-en-champagne.com/le-temps-dune-bulle/cormoyeux/hlocha051v50knfb,"Treehouse hotel explicitly described as 'Gîte insolite' (unusual/atypical lodging) with 'Le temps d'une bulle' name strongly suggests nature-integrated design, mature trees, and adventure-seeking clientele.",osm,osm:node/11900291663
338,La Francette,treehouse_hotel,A,8.0,11.20,,,,47.4640751,3.8044332,,,https://www.gites-de-france.com/fr/bourgogne-franche-comte/yonne/la-francette-89g311,Treehouse hotel with strong outdoor-adventure positioning and likely mature trees on-site; premium pricing aligns with $5k budget and appeals to families seeking active play.,osm,osm:node/12259731748
339,L’Etape Paris-Fontainebleau,treehouse_hotel,A,8.0,11.20,Pringy,77310,13 Rue des Écoles,48.5206621,2.5587502,+33636069111,,,Treehouse hotel in Pringy positioned for outdoor adventure and families; likely owns land with mature trees and has discretionary budget for amenities.,osm,osm:node/12260567777
340,Les Barrats,treehouse_hotel,A,8.0,11.20,,,,47.3193087,2.6766743,+33 6 26 61 52 68,,https://www.lesbarrats.com,"Treehouse hotel archetype with premium positioning suggests outdoor-focused families, owned land, and mature trees; budget fit is strong.",osm,osm:node/12299725602
341,L'Estegare,treehouse_hotel,A,8.0,11.20,,,,47.5394191,3.7922717,,,https://www.gites-de-france.com/fr/bourgogne-franche-comte/yonne/lestegare-89g468,Treehouse hotel with adventure-focused branding; likely has on-site trees and caters to families seeking active outdoor experiences.,osm,osm:node/12451460250
342,Ambroisie,treehouse_hotel,A,8.0,11.20,,,,47.5391426,3.7922919,,,https://www.gites-de-france.com/fr/bourgogne-franche-comte/yonne/ambroisie-89g359,Treehouse hotel format indicates mature trees and outdoor-adventure clientele; premium tier suggests adequate $5k budget for enhancements.,osm,osm:node/12451477329
343,Gîte du Vieux Chai de Trôo,treehouse_hotel,A,8.0,11.20,,,,47.7757302,0.7903809,,,,Treehouse-hotel positioned gîte in Trôo; strong alignment with outdoor-adventure families and likely mature trees on historic property.,osm,osm:node/12465334938
344,Gîte des 3 Chouettes,treehouse_hotel,A,8.0,11.20,,,7 Pataut,47.3683264,4.6431845,,,,Treehouse-hotel gîte with playful name ('3 Owls') suggests nature-focused positioning; likely owns land with mature trees and serves family audiences.,osm,osm:node/12592755016
345,Les Belles Fontaines,treehouse_hotel,A,8.0,11.20,,,,47.5975701,4.1873326,,,https://www.gites-de-france.com/fr/bourgogne-franche-comte/yonne/les-belles-fontaines-h89h028866,"Treehouse-hotel archetype with family-friendly name; premium tier and outdoor positioning indicate owned land, trees, and $5k+ budgets.",osm,osm:node/12717288059
346,Gîte Jardin Yuccas,treehouse_hotel,A,8.0,11.20,,,,47.6339523,0.2310599,,,https://clossurloircottage.wixsite.com/clsriver?lang=en,Treehouse-hotel gîte with 'Jardin' (garden) name strongly suggests landscaped grounds with mature trees; family-outdoor positioning is clear.,osm,osm:node/12776585255
347,Gîte Jardin Renard,treehouse_hotel,A,8.0,11.20,,,,47.6338819,0.2309051,,,https://clossurloircottage.wixsite.com/clsriver?lang=en,Treehouse-hotel gîte with garden positioning; name and archetype indicate on-site mature trees and outdoor-adventure clientele.,osm,osm:node/12776585256
348,Le Moulin de Cherré,treehouse_hotel,A,8.0,11.20,,,,47.6491938,0.230014,,,,Historic mill converted to treehouse-hotel suggests substantial grounds with mature trees and premium positioning for outdoor-adventure families.,osm,osm:way/372121219
349,Gîte les Bruyères - Saint Laurent,treehouse_hotel,A,8.0,11.20,Corneville sur Risle,27500,14 Chemin de la Sablonnière,49.3505614,0.5799451,+33 2 35 87 13 29,marceline.hardouin@gmail.com,https://www.gites-de-france.com/fr/normandie/eure/les-bruyeres-27g411,Treehouse-hotel gîte in Corneville-sur-Risle with countryside location; 'Bruyères' (heather) suggests natural landscape with likely mature trees.,osm,osm:node/12810202373
350,Le gîte du Saule Durand,treehouse_hotel,A,8.0,11.20,,,,47.3231189,0.53706,,,https://www.gites-de-france.com/fr/centre-val-de-loire/indre-et-loire/le-gite-du-saule-durand-37g24501,"Le gîte du Saule Durand's name references 'Saule' (willow tree), strong indicator of mature trees on-site; treehouse-hotel archetype suggests family/adventure positioning ideal for rope-net installation.",osm,osm:node/13039782258
351,Vintage Camp,treehouse_hotel,A,8.0,11.20,,,,47.2503,1.6562963,+33 659249605,,https://www.airbnb.fr/rooms/42735700,Vintage Camp explicitly targets camping/outdoor experience with 'Camp' positioning; tier A suggests premium market; strong family/adventure audience alignment and likely tree-shaded grounds.,osm,osm:node/13175605967
352,Le bois aux cerfs,treehouse_hotel,A,8.0,11.20,Bois-Jérôme-Saint-Ouen,27620,49 Rue de l'Abbé Seyer,49.1019931,1.5417134,,,https://www.leboisauxcerfs.fr/,"Le bois aux cerfs ('bois' = forest, 'cerfs' = deer) strongly indicates wooded/mature tree environment; tier A treehouse-hotel suggests established outdoor leisure operator with budget and family positioning.",osm,osm:node/13190810211
353,Gîte Le Tournesac,treehouse_hotel,A,8.0,11.20,Saint-Didier,21210,Rue du Moulin,47.3306638,4.1806488,+33 6 68 12 97 79,simonevylray@gmail.com,https://www.giteletournesac.fr/,"Treehouse hotel archetype with Tier A positioning indicates mature trees, adventure-focused audience, and likely budget capacity; rural location suggests owned outdoor space.",osm,osm:node/13206504437
354,Gîte du Grand Jardin,treehouse_hotel,A,8.0,11.20,,,,48.8935623,0.3411682,,,,Treehouse hotel with 'Grand Jardin' name suggests landscape/outdoor focus and mature trees; Tier A positioning indicates premium budget and family-adventure appeal.,osm,osm:node/13206749560
355,Gîte de la Gavellerie,treehouse_hotel,A,8.0,11.20,,,,47.993467,0.5099436,,,,"Treehouse hotel archetype with Tier A rating suggests established infrastructure, adventure audience, and budget for amenity investment; rural setting likely offers tree-anchoring opportunities.",osm,osm:node/13260286994
356,L’endurance 24,treehouse_hotel,A,8.0,11.20,,,,47.9000887,0.2855855,,,,Treehouse hotel archetype suggests trees and outdoor adventure infrastructure; Tier A indicates budget capacity and family-adventure positioning aligned with rope-net appeal.,osm,osm:node/13275668862
357,L'Eldorado,treehouse_hotel,A,8.0,11.20,,,,49.8105114,0.6240046,+33 611900738,,,"Treehouse hotel archetype with adventurous positioning (El Dorado) suggests mature trees, family-adventure appeal, and Tier A budget for premium outdoor installations.",osm,osm:node/13313501929
358,Au Petit Vivoin,treehouse_hotel,A,8.0,11.20,Vivoin,72170,2 Rue de Beaumont,48.2304335,0.1440481,+33 2 43 97 00 05,contact@giteaupetitvivoin.fr,https://www.giteaupetitvivoin.fr/,Treehouse hotel with Tier A positioning in named commune suggests established rural venue with trees and adventure focus; likely owned space and discretionary budget.,osm,osm:node/13376546395
359,La Clairière,treehouse_hotel,A,8.0,11.20,,,,47.4551355,4.8828274,+33 3 80 35 05 11,,https://restogitelaclairiere.com/gite-de-groupe/,"Treehouse hotel ('Clairière' suggests natural setting) with Tier A indicates mature trees, outdoor-adventure audience, and budget for amenity investment.",osm,osm:node/13423407551
360,La Briqueterie,treehouse_hotel,A,8.0,11.20,,,,48.8564968,3.698372,+336 89 96 60 56,labriqueterie51@gmail.com,https://www.airbnb.fr/rooms/811250047572754770?_set_bev_on_new_domain=1767594864_EAZjY5NzNjODlkNj&set_everest_cookie_on_new_domain=1767594864.EAZmYyZmM5MjkzZWUwOW.Yo-D9HynP4Ab6XM-9BuuDF6FINiIs7I4rT3FjsHBW0I&source_impression_id=p3_1767594865_P3pE4AjoG7ggl,Treehouse hotel archetype suggests mature trees and outdoor infrastructure; Tier A positioning indicates premium budget and likely adventure-focused family audience.,osm,osm:node/13431792027
361,La casa des frangins,treehouse_hotel,A,8.0,11.20,,,,49.5355558,0.3655252,,,,"Treehouse hotel with strong likelihood of mature trees on-site; target audience (adventure travelers, families) aligns well with aerial rope installations. High discretionary budget expected from premium positioning.",osm,osm:node/13720605899
