rank,name,archetype,tier,fit_score,ranked_score,email,phone,website,commune,postcode,reasoning
156,"Gîte ""Naturoé""",treehouse_hotel,A,7.0,9.80,vacances@laligue08.org,+33 324 338 118,http://www.laligue08.org/vacances-et-loisirs-dans-les-ardennes/naturoe/,,,Treehouse hotel 'Naturoé' signals nature/eco-positioning with likely mature trees; tier-A status suggests budget and adventure-oriented clientele.
157,Gîtes des Jonquilles,treehouse_hotel,A,7.0,9.80,gitesdesjonquilles77@gmail.com,+33 6 89 44 41 99,https://gitesdesjonquilles.net/,,,"Treehouse gîte with nature-focused name implies mature trees on-site and leisure audience; reasonable budget potential for small hospitality upgrade, though primary business is lodging not activities."
158,Les écogîtes de la Sablière,treehouse_hotel,A,7.0,9.80,mgc15020912@gmail.com,,https://www.ecogitesdelasabliere.fr,,,"Eco-lodge branding ('écogîtes') combined with treehouse-hotel tier signals environmental values, outdoor focus, and likely rural trees. Appropriate audience and discretionary budget for premium outdoor experiences."
159,Le Chalet Cormoyeux,treehouse_hotel,A,7.0,9.80,contact@lechaletcormoyeux.com,+33 6 33 19 46 15,,,,Chalet-styled treehouse hotel suggests outdoor orientation and likely tree assets; premium positioning typical of such properties indicates budget capacity.
160,Chez YAHMZ,treehouse_hotel,A,7.0,9.80,marechal.ylm@orange.fr,+33 6 84 21 47 77,https://www.tourisme-gatinaisvaldeloing.fr/fr/fiche/6030496/chez-yahmz/,Bransles,77620,Treehouse hotel in Bransles with chalet tag; rural location and archetype suggest mature trees and adventure-oriented guest base with discretionary spending.
161,GITE DU PASSANT,treehouse_hotel,A,7.0,9.80,contact@champagnegerardcollin.com,+33 7 8 558 99 01,https://www.tourisme-cotedesbar.com/fiche/le-gite-du-passant/,Bragelogne-Beauvoir,10340,Tier-A treehouse hotel gîte in rural Bragelogne-Beauvoir; rural setting and archetype suggest trees and family-oriented audience with adequate budget.
162,Pommenial de la Hérissonnière,treehouse_hotel,A,7.0,9.80,pommenial@herissonniere.fr,+33982307648,https://www.herissonniere.fr/,,,Tier-A treehouse hotel with rural positioning and chalet tag; archetype strongly implies wooded setting with mature trees and family/adventure audience alignment.
163,La Maréchalerie,treehouse_hotel,A,7.0,9.80,lenichoir45@orange.fr,+33 2 38 36 95 36,https://www.lamarechalerie-lenichoir.com/,Lion-en-Sullias,45600,4-star tier-A treehouse hotel in Lion-en-Sullias with 'Maréchalerie' (historic forge) name; premium rural estate with family/outdoor appeal and clear $5k+ budget capacity.
164,La Cave Yuccas,treehouse_hotel,A,7.0,9.80,contact@cave-yuccas.com,,https://www.cave-yuccas.com/,,,Cave venue with treehouse-hotel positioning suggests outdoor character; may have trees and appeals to adventure-focused visitors with adequate budget.
165,Domaine du Bois Landry,treehouse_hotel,A,7.0,9.80,contact@boislandry.com,+33 2 37 49 80 01,https://www.boislandry.com,,28240,Domaine du Bois Landry ('Bois' = forest/wood) strongly suggests mature trees on-site; treehouse-hotel tier A indicates premium positioning and likely audience fit for aerial play.
166,Gîtes du Val d'Andé,treehouse_hotel,A,7.0,9.80,ande.vacances@gmail.com,+33 680011389,https://www.gitenormandie27.com/,Andé,27430,Gîtes du Val d'Andé targets groups and businesses with well-equipped accommodations; tier A suggests budget capacity; rural location implies outdoor space and likely tree assets.
167,AuxR_Etape,treehouse_hotel,A,7.0,9.80,contact@auxrmlarando.fr,+33379270023,https://www.auxrmlarando.fr/,Auxerre,89000,"Treehouse hotel in Auxerre (urban setting) suggests trees on-site but may lack extensive green space; Tier A budget capacity and adventure positioning are strong, though urban location may limit scale."
168,Les crins de verdure ferme pédagogique,treehouse_hotel,A,7.0,9.80,contact@lescrinsdeverdure.fr,+33 6 49 05 38 66,https://lescrinsdeverdure.fr/,,76500,Educational farm property suggests outdoor space and family-oriented audience; 'ferme pédagogique' indicates trees/green infrastructure likely present and amenable to active play installations.
169,La marguerite 60,treehouse_hotel,A,7.0,9.80,lamarguerite60@gmail.com,+33 3 60 19 34 49,https://lamarguerite60.com/,Beaurains-lès-Noyon,60400,Tier A treehouse hotel with premium positioning; rural location (Beaurains-lès-Noyon) suggests mature trees and audience seeking outdoor adventure experiences.
170,Gîte rural,treehouse_hotel,A,7.0,9.80,gites@tourisme77.fr,,,,77940,"Treehouse-positioned rural gîte in Tier A suggests mature trees, adventure appeal, and adequate budget; generic name limits confidence vs. more distinctly branded properties."
171,Gîtes d'Ecouves,treehouse_hotel,A,7.0,9.80,contact@ecouves.net,+33 2 33 28 75 02,www.ecouves.net,Écouves,61250,Located in Écouves (forest-rich Normandy region) with tier-A chalet positioning and family-gîte branding; likely mature trees and established outdoor leisure operator with discretionary budget.
172,La Casa del Cookie,treehouse_hotel,A,7.0,9.80,zaouiameriam@hotmail.fr,+32 476 95 92 16,https://www.lacasadelcookie.com,Baileux,6464,"Treehouse hotel with confirmed location suggests woodland grounds; however, 'Casa del Cookie' branding leans more hospitality-casual than hardcore adventure."
173,UPAYA-L'école par nature,forest_school,B,8.0,9.60,contact@ecole-upaya.com,+33 6612 9740,https://ecole-upaya.com,,,"Private forest school with explicit nature focus guarantees mature trees, family/kid audience, and education-aligned budget; strong fit for adventure infrastructure."
174,Collège Notre-Dame de Bury - Annexe du collège Le Rosaire de Saint-Leu-la-Forêt,forest_school,B,7.0,8.40,0951505V@ac-versailles.fr,+33 1 34 27 38 00,http://www.bury-rosaire.fr/,,,Forest school archetype strongly suggests natural wooded grounds and pedagogy aligned with outdoor adventure; private operator and educational budget may support enrichment activities.
175,École primaire privée Bilingue Montessori,montessori_school,B,7.0,8.40,ce.0941924F@ac-creteil.fr,+33 148895212,,,,"Private Montessori school with active-play audience (families, children) and long-term land control; likely has grounds, though budget confirmation needed."
176,École primaire privée bilingue Maria Montessori,montessori_school,B,7.0,8.40,montessoriversailles@icloud.com,+33 139027000,,,,"Private bilingual Montessori school with families/children audience, long-term land control, and presumed school grounds with potential mature trees."
177,Les Courtilles du Lido,camping,A,6.0,8.40,camping@courtillesdulido.com,+33 1 60 70 46 05,www.les-courtilles-du-lido.fr,,77250,"3-star campsite suggests outdoor family audience and some discretionary budget, but no clear indication of mature trees or climbing infrastructure on-site. Could work if grounds are wooded, but uncertain."
178,Papéa Parc,leisure_park,A,6.0,8.40,contact@papeaparc.fr,+33 2 43 89 61 05,https://www.papeaparc.fr/,Yvré-l'Évêque,72530,"Papéa Parc is a theme park with likely outdoor space and family audience, fitting the demographic, but no confirmation of mature trees or existing climbing infrastructure; moderate budget potential as a tier-A leisure operator."
179,Les Mouettes,camping,A,6.0,8.40,contact@camping-lesmouettes-normandie.com,+33 2 35 97 61 98,https://vacances-seasonova.com/fr/camping/camping-les-mouettes/,Veules-les-Roses,76980,"3-star camping in coastal area likely has outdoor space and family audience, but no explicit mention of mature trees or climbing infrastructure; moderate budget potential for outdoor amenity operator."
180,Camping Municipal de Haybes,camping,A,6.0,8.40,mairie.haybes@wanadoo.fr,+33 3 24 41 14 54,https://www.haybes.fr/vivre-haybes/saison-estivale/camping,Haybes,08170,"Municipal 2-star campsite with family audience and outdoor grounds; likely has trees, but municipal status and modest tier complicate budget approval despite outdoor recreation positioning."
181,Le Bellevue,camping,A,6.0,8.40,camping.fumay@orange.fr,+33 3 24 41 28 15,,,,"2-star campsite with family audience and outdoor space; potential trees and receptive demographic, but modest tier and unclear land control limit fit."
182,Bord de l'Eure,camping,A,6.0,8.40,camping@chartres-tourisme.com,+33 2 37 28 79 43,https://camping-de-chartres.com,Chartres,28000,"Campsite near Chartres likely has outdoor space and family clientele, but no indication of mature trees or climbing infrastructure; moderate budget potential if well-established."
183,Île de Loisirs,camping,A,6.0,8.40,boisleroi-base@ucpa.asso.fr,+331 64 81 33 00,https://www.bois-le-roi.iledeloisirs.fr/,,,"Leisure island (Île de Loisirs) camping indicates family recreation focus and outdoor space; likely has trees and budget, but generic name lacks specific confirmation."
184,Camping de Saint-Quentin,camping,A,6.0,8.40,auberge.camping@ville-saint-quentin.fr,+33 3 23 62 68 66,https://www.saint-quentin-tourisme.fr/hebergement/camping-municipal-de-saint-quentin,,,Private camping site with typical outdoor family appeal and likely trees; operator has discretionary budget and land control.
185,Berger du Val de Serre,camping,A,6.0,8.40,Berger.vs@wanadoo.fr,+33 3 23 20 00 04,https://www.accueil-paysan.com/fr/catalog/structure/1/,,,Camping site with typical family/outdoor audience and likely mature trees; private operator with reasonable budget and land control.
186,Camping A la ferme de Secouray,camping,A,6.0,8.40,willy.bourgeois@wanadoo.fr,+33609574486,http://camping.gite.monsite-orange.fr/,Nottonville,28140,Farm-based camping attracts families and outdoor-minded guests; rural setting likely includes some trees. Budget and infrastructure commitment unclear but farm diversification suggests openness to amenities.
187,Camping municipal Sous Roche,camping,A,6.0,8.40,campingsousroche@ville-avallon.fr,+33386341039,https://campingsousroche.com/,Avallon,89200,3-star municipal campground in Avallon (scenic area) suggests outdoor focus and likely mature trees; municipal status limits discretionary spending but established venue quality.
188,Le Faucon,camping,A,6.0,8.40,camping-faucon@orange.fr,+33 7 69760327,https://www.lecampinglefaucon.com/,,,Named campsite with family audience and likely trees; reasonable fit if operator invests in activity amenities.
189,Aux Rives du Lac,camping,A,6.0,8.40,contact@campingauxrivesdulac.com,+33 3 25 41 24 36,https://www.campingauxrivesdulac.com/,,,"Lake-adjacent campsite (Tier A) likely appeals to outdoor families and has budget capacity; water venues often feature tree coverage, suitable for rope-net installation."
190,Camping de l'Escaut,camping,A,6.0,8.40,camping-delescaut@orange.fr,+33 3 27799210,,,,"Small 1-star campsite likely has basic outdoor space and potentially some trees; modest budget positioning could work, but tier-A categorization and minimal stars suggest small operator."
191,Camping Municipal de Mailly le Château,camping,A,6.0,8.40,camping.maillylechateau@orange.fr,+33 386 81 44 85,https://www.maillylechateau.fr/fr/information/62221/camping,,,"2-star municipal campground with family audience and likely outdoor space; budget modest but feasible, tree presence probable."
192,Camping Val de Flux,camping,A,6.0,8.40,camping.beaugency@gmail.com,+332 38 14 72 66,http://www.camping-beaugency.fr/,,,"3-star campground with family audience and outdoor orientation; moderate budget and tree presence likely, but no explicit activity focus."
193,Minicamping & gîtes Champagne Manoir,camping,A,6.0,8.40,info@champagnemanoir.com,,https://champagnemanoir.com,Champallement,58420,Private mini-camping operator with gîtes suggests better budget control and family positioning. Tree presence plausible but not certain from name alone.
194,Le nid vert,camping,A,6.0,8.40,lenidvert91@orange.fr,+33 1 64 98 31 44,https://www.camping-lenidvert.fr,Mondeville,91590,"3-star rated camping in rural area with outdoor focus and family appeal. Name 'Le nid vert' (green nest) hints at natural setting, supporting installation fit."
195,Camping municipal,camping,A,6.0,8.40,camping@bourgueil.fr,+33 2 47 97 85 62,https://www.bourgueil.fr/camping/,Bourgueil,37140,"Municipal 3-star camping in Bourgueil (Loire Valley) suggests established outdoor space and family audience, but municipal status may complicate procurement; trees likely in rural setting."
196,Aux Sabots de Vent,camping,A,6.0,8.40,aux.sabots.de.vent@gmail.com,+33 6 82 38 98 44,https://aux-sabots-de-vent.ffe.com/,,,"Named camp site ('Aux Sabots de Vent') suggests rural/outdoor positioning; likely has some tree coverage and family audience, though budget tier unclear."
197,Camping à la ferme de la famille Fontana,camping,A,6.0,8.40,sebastien-fontana@orange.fr,+33 3 44 46 81 55,https://www.gite-camping-beauvais.com/camping/,,,"Farm camping ('à la ferme') suggests pastoral setting with likely trees, family-friendly vibe, and small-operator flexibility; good potential if budget available."
198,Rendez-vous en terre animale,camping,A,6.0,8.40,contact@rdvta.fr,+33 2 36 47 60 06,https://www.rdventerreanimale.fr/,Sury-aux-Bois,45530,Campsite with 'animal' positioning suggests outdoor/nature focus and likely family audience; rural location implies trees; moderate fit if grounds accommodate installation.
199,Terrain de camping Le Verger,camping,A,6.0,8.40,secretariat@ville-braysursomme.fr,+33 6 26 74 51 62,http://www.ville-braysursomme.fr/fr/information/84051/camping,,,"Small 1-star campsite with family audience potential; budget is uncertain for a $5k upgrade, but 'Le Verger' (orchard) name suggests possible tree assets."
200,Gite rural Les Vignes d'En Bas,treehouse_hotel,A,6.0,8.40,gite.gombaudiere@wanadoo.fr,+33254741517,http://gite-et-chateaux.fr,,41250,"Gite/chalet suggests adventure/nature positioning and some discretionary budget; however, 'Les Vignes' suggests vineyard context (adult-focused) rather than family play infrastructure."
201,Camping Val de vie,camping,A,6.0,8.40,campingvaldevie45@orange.fr,+33 2 38 55 82 71,https://www.camping-valdevie.com/,Châtenoy,45260,"Traditional campground (camp_site, not just caravan lot) suggests family-oriented positioning, outdoor recreational infrastructure, and likely multiple trees; rural location promising, though specific budget and amenity details unclear."
202,Gîte d'étape de Donnery,treehouse_hotel,A,6.0,8.40,mairie@donnery.fr,+33238592010,https://www.tourismeloiret.com/fr/diffusio/hebergements-groupes/gite-d-etape-de-l-ancienne-maison-eclusiere-donnery_TFOHCOCEN045000IF,Donnery,45450,Chalet étape (stopover) in Donnery suggests group/family facilities and outdoor grounds; archetype hints at nature orientation but budget/trees unclear.
203,Arden Parks Signy l'Abbaye,camping,A,6.0,8.40,campinglavenerie@gmail.com,+33 3 24 58 33 62,https://domainedelavenerie.fr/camping/,Signy L'Abbaye,08460,Established campground with tier-A status suggests good outdoor space and family orientation; likely has trees and operational budget.
204,Le Domaine de Fontaine-Châtel,camping,A,6.0,8.40,contact@domainedefontainechatel.com,+33 6 25 06 30 79,https://domainedefontainechatel.com/,,,Named domain-style campground suggests estate setting with potential trees; family-oriented but no confirmation of budget or investment capacity.
205,Camping de Renéville,camping,A,6.0,8.40,reneville@aliceadsl.fr,+33 2 35 28 20 97,https://www.campingdereneville.com,Yport,76400,"Coastal 3-star campsite; family audience and outdoor focus are strong, but seaside location may mean limited mature trees vs. sandy/cliff terrain."
206,La Boissellerie,camping,A,6.0,8.40,campinglaboissellerie-felleries@orange.fr,+33 3 27 59 06 50; +33 6 83 80 87 29,https://www.felleries.fr/le-camping,,,"Camping/caravan site likely has outdoor space and modest budget; trees plausible but not confirmed by name. Target audience (campers) values outdoor activity, making this a moderate fit."
207,Le Mesnil,camping,A,6.0,8.40,contact@campinglemesnil.com,+33 2 35 83 02 83,https://www.campinglemesnil.com,Saint-Aubin-sur-Mer,76740,"3-star coastal campsite in Normandy with family-oriented clientele and reasonable budget capacity. Coastal location suggests some trees/green space, though beach-focused sites may lack tall mature anchors."
208,Camping le Criquet,camping,A,6.0,8.40,inforeserv@camping-le-criquet.fr,+33 1 30 93 07 95,http://www.camping-le-criquet.fr/,Freneuse,78840,"Rural campsite in Freneuse (Seine valley); likely has outdoor space and trees. Family audience and modest budget fit, though star rating/budget capacity unclear."
209,Camping l'Île Adeline,camping,A,6.0,8.40,info@camping-ile-adeline.com,+33 2 32 25 45 33,https://www.camping-ile-adeline.com,Poses,27740,"Small 2-star campground likely has outdoor space and family audience; campgrounds often feature trees, but tier A status suggests modest scale and budget limits."
210,Camping Les Prés,camping,A,6.0,8.40,camping.grez@aquadis-loisirs.com,+33 164457275,https://www.aquadis-loisirs.com/camping-les-pres-fontainebleau/,Grez-sur-Loing,77880,2-star campground on riverside (Grez-sur-Loing) likely has trees and natural setting; family audience and modest budget positioning suggests openness to experiential amenities.
211,La Chabotière,camping,A,6.0,8.40,contact@lachabotiere.com,+33 2 43 45 10 00,https://lachabotiere.com/,,,3-star camping attracts families and active visitors; typically has green space and trees. Mid-tier budget operator may hesitate at $5k but is plausible.
212,Le Pré aux Moines,camping,A,6.0,8.40,arnolanglais41@gmail.com,+33 649151296,https://www.vendome-tourisme.fr/offres/camping-le-pre-aux-moines-savigny-sur-braye-fr-4270075/,Savigny sur Braye,,Named 'Pré aux Moines' (meadow of monks) suggests pastoral setting; family camping appeals to active play culture. Likely has some trees and reasonable operator budget.
213,Étangs du Moulin,camping,A,6.0,8.40,contact@etangsdumoulin.fr,+33 3 23 80 92 86,https://www.etangsdumoulin.fr/,Suzy,02320,3-star lakeside camping ('Étangs') implies outdoor recreation focus and natural setting; good family audience. Moderate confidence in tree density and operator budget.
214,Camping Croix-Scaille,camping,A,6.0,8.40,contact@campingcroixscaille.be,+32 61 58 85 17,https://campingcroixscaille.be/fr/,,,Named camping implies outdoor recreation space and tree-lined grounds typical of French rural campsites. Family audience and plausible operator budget.
215,Hippo Camp,camping,A,6.0,8.40,contact@campinghippocamp.fr,+33 1 64 25 85 02,http://www.campinghippocamp.fr,,,"Hippo Camp suggests family-adventure positioning and camping operations; likely has trees and discretionary budget, though tier-A lacks detail confirmation."
216,La Vallée des Tamaris,camping,A,6.0,8.40,contact@campingtamaris77.com,+33 1 64 42 07 26,https://www.campingtamaris77.com/,,,"2-star camping with family audience and outdoor grounds; lacks confirming detail on budget and trees, but archetype-appropriate."
217,Village Nature Cottages,camping,A,6.0,8.40,sachabes60@gmail.com,+33 1 70 00 48 09,,,,"Village Nature suggests family-resort positioning, outdoor grounds, and discretionary budget; good fit pending tree confirmation."
218,Le Parc du Gué,camping,A,6.0,8.40,contact@camping-parcdugue.com,+33 1 64 45 87 79,http://camping-parcdugue.com/,La Genevraye,77690,Camping site suggests outdoor space and likely trees; family-oriented but generic positioning with uncertain premium activity budget.
219,La Belle Étoile,camping,A,6.0,8.40,info@campinglabelleetoile.com,+33 1 64 39 48 12,https://www.campinglabelleetoile.com/,,77000,"3-star campground likely has mature trees, family-oriented audience seeking outdoor activities, and operator budget capacity; good baseline fit for rope-net appeal."
220,Aire camping-car de Saint Avertin,camping,A,6.0,8.40,campingtoursvaldeloire@onlycamp.fr,+33 2 47 27 87 47,https://www.onlypark.fr/aire-camping-car-de-st-avertin/,Saint-Avertin,,"4-star campground likely has mature trees and families seeking outdoor activity, with moderate discretionary budget. However, camping infrastructure doesn't strongly suggest rope-net fit unless explicitly adventure-themed."
221,Le Pont Romain,camping,A,6.0,8.40,campinglepontromain@onlycamp.fr,+33 2 43 82 25 39,https://camping-le-mans.fr/,,,"4-star camping site with established infrastructure and family-friendly positioning; likely has outdoor space and budget capacity, though tree presence uncertain."
222,Camping de l'Amitié,camping,A,6.0,8.40,campingdelamitie@stlaurentnouan.fr,+33 2 54 87 01 52,http://www.campingdelamitie.fr,Saint-Laurent-Nouan,,Established camping site with tier-A status indicating reasonable budget and family audience; outdoor space and potential trees make it viable if ownership/control is secured.
223,Camping de l'Ardan,camping,A,6.0,8.40,info@camping-bourgogne.com,+333 86 20 07 70,https://www.camping-bourgogne.com/Camping_de_lArdan,,,Established camping with family positioning; outdoor-focused operator likely has mature grounds and budget for amenity investment.
224,Camping d'Accolay,camping,A,6.0,8.40,camping.accolay@gmail.com,+333 86 42 82 97,https://www.accolay.eu/index.php/fr/le-camping/tarifs,,,2-star campground on greenfield with family audience and outdoor orientation; greenfield tag suggests space but unclear if mature trees exist yet.
225,Camping de l'Isle aux Moulins,camping,A,6.0,8.40,campingjargeau@orange.fr,+33 2 38 59 70 04,https://www.tourismeloiret.com/fr/diffusio/campings/camping-municipal-de-l-isle-aux-moulins-jargeau_TFOHPACEN0450010326,Jargeau,45150,2-star campground with outdoor orientation but modest star rating suggests moderate budget; riverside location near Jargeau may have riparian vegetation.
226,Le Chêne Gris,camping,A,6.0,8.40,info@lechenegris.com,+33 1 64 04 21 80,https://www.vacansoleil.fr/camping/france/paris-disneyland-ile-de-france/pommeuse/camping-le-chene-gris-2015000/,Pommeuse,77515,4-star camping with premium positioning ($5k budget likely achievable) and family audience; 'Chêne Gris' (Grey Oak) hints at trees on-site.
227,Camping de Châlons-en-Champagne,camping,A,6.0,8.40,camping.chalons@aquadis-loisirs.com,+33 3 26 68 38 00,https://www.aquadis-loisirs.com/camping-nature/camping-de-chalons-en-champagne,,,4-star municipal camping suggests quality operator with discretionary budget; lakeside location often implies greenery and family-adventure positioning.
228,La Buissonnière,camping,A,6.0,8.40,magalie.dupront@sfr.fr,,https://camping-labuissonniere.sitew.com/,,,"Campsite with family and outdoor recreation audience; likely has trees and green space, but no specific infrastructure or budget signals suggest moderate fit."
229,Camping Les Hirondelles,camping,A,6.0,8.40,ritou62@gmail.com,+33 3 60279107,https://les-hirondelles-47.webself.net/accueil,,,"Campsite with family focus and outdoor grounds; likely has trees and audience for active play, but no premium positioning or infrastructure mentioned."
230,Le Pont Rouge et les Vignes,camping,A,6.0,8.40,pontrouge.vignes@gmail.com,+33 3 22 76 60 28,https://www.camping-peche-picardie.com/,,,"Campsite with rural/agricultural name suggesting trees and green space, family audience, but no clear budget signals or climbing infrastructure."
231,La Rivière Dorée,camping,A,6.0,8.40,camping@bagneauxsurloing.fr,+33 1 60 55 80 00,https://www.larivieredoree.com/fr/,Bagneaux-sur-Loing,77167,2-star riverside camping with family appeal and likely some tree cover near the Loing; potential for operator investment in amenities but budget level uncertain.
232,"Camping Municipal de Long ""La Peupleraie""",camping,A,6.0,8.40,bacquet.lionel@free.fr,+33 3 22 31 84 27,http://www.long80.com/campingmunicipal.html,,,"Municipal camping with family audience and name 'La Peupleraie' (Poplar Grove) suggesting mature trees; however, public facility may complicate procurement and budget decisions."
233,Camping de l'Isle Verte,camping,A,6.0,8.40,isleverte49@orange.fr,+33 241 517 660,https://www.campingisleverte.com/,Montsoreau,49730,"4-star campsite on island location with strong family positioning and improved budget signal, but no evidence of mature trees or climbing infrastructure."
234,Camping de Guéramé,camping,A,6.0,8.40,campingguerame@ville-alencon.fr,+33 233 263495,https://cu-alencon.fr/sortir-bouger/tourisme-et-patrimoine/le-camping-de-guerame/,Alençon,61000,"Tier-A camping with families and active outdoor users; likely outdoor space with trees, but tier-C budget positioning and municipal/public nature may complicate procurement."
235,Camping Touristique de Gien,camping,A,6.0,8.40,info@camping-gien.com,+33 2 38 67 12 50,https://www.camping-gien.com,Poilly-lez-Gien,45500,"3-star camping in rural area likely has trees and family audience, reasonable budget capacity for amenities. Good match for family-oriented outdoor activity but unclear if trees are mature/suitable anchors."
236,Les Prés de la Fontaine,camping,A,6.0,8.40,reception@presdelafontaine.com,+33 1 64 01 86 08,https://www.presdelafontaine.com/,Hermé - Gouaix,77114,Standard campground with family audience and outdoor space control; lacks specific evidence of mature trees or premium positioning.
237,La Source,camping,A,6.0,8.40,info@camping-la-source.fr,+33 2 35 84 27 04,https://camping-la-source.fr,Hautot-sur-Mer,76550,"3-star campground with family appeal and outdoor space, but mid-range positioning and seaside location (trees less common)."
238,Camping Le Vieux Moulin,camping,A,6.0,8.40,info@campingneuville.com,,https://www.campingneuville.com/,,,"Generic campsite with no star-rating or detail; likely has trees and family audience, but unclear budget tier and amenity focus. Safe middle-ground fit for typical French campground."
239,Camping Municipal Les Poissonniers,camping,A,6.0,8.40,camping@mairie-corbie.fr,+33 3 22 48 23 35,https://www.mairie-corbie.fr/camping/,,,Municipal campground with family audience and likely mature trees in typical campground layout; municipal ownership may complicate procurement but tier-A camping often has budget autonomy.
240,Camp' Eure,camping,A,6.0,8.40,campeure@pontdelarche.fr,+33 2 35 23 06 71,https://campeure.fr/,Pont-de-l'Arche,27340,2-star municipal campground with family audience and outdoor space; trees likely in Seine valley; tier-A positioning suggests some discretionary spending.
241,Les terrasses,camping,A,6.0,8.40,lesterrasses27@gmail.com,+33 2 35 23 08 15,https://www.rouentourisme.com/campings-camping-cars/camping-les-terrasses-185,Igoville,27460,2-star campground in Igoville with standard recreation audience; likely has mature trees typical of Eure-region campsites.
242,Camping Municipal de Samoreau,camping,A,6.0,8.40,camping@samoreau.fr,+33 1 64 23 71 09,https://www.camping-samoreau.fr/,Samoreau,77210,Municipal campground with family audience and typical tier-A positioning; likely mature trees in Samoreau riverside location.
243,Camping Les Rives du Loing,camping,A,6.0,8.40,camping@agglo-montargoise.fr,+33 2 38 85 29 33,,,,"2-star riverside camping targets budget-conscious families; likely has trees and outdoor space appeal, though lower star rating suggests more modest operator budget."
244,Les Portes de Sancerre,camping,A,6.0,8.40,accueil@campingsaintsatur.fr,+33 2 48 72 18 50,https://www.camping-portes-de-sancerre.fr/,,,"3-star campsite with family audience and likely outdoor grounds; reasonable budget tier and space control, though tree coverage uncertain."
245,Camping Merry-Sur-Yonne,camping,A,6.0,8.40,campingmerrysuryonne@yahoo.com,+33 3 86 34 59 55,http://www.campingmerrysuryonne.com/,,,"Campsite with family audience and outdoor space ownership; reasonable budget tier and likely grounds, though tree confirmation lacking."
246,Le Petit Port,camping,A,6.0,8.40,campingchatelcensoir@orange.fr,+333 86 42 78 20,http://www.chatel-censoir.fr/fr/information/48362/camping-petit-port,,,Small campsite suggesting outdoor space and family audience; budget and tree presence plausible but unconfirmed.
247,Camping l'Étang des Bois,camping,A,6.0,8.40,contact@vacances-seasonova.com,+33 238892871,https://vacances-seasonova.com/fr/camping/letang-des-bois/,Vieilles-Maisons-sur-Joudry,45260,"Named 'Étang des Bois' (pond of woods) suggests woodland setting with likely mature trees; typical campsite clientele and space, though budget tier unclear."
248,Camping des Berges de l'Yonne,camping,A,6.0,8.40,campinglesbergesdelyonne@onlycamp.fr,+33 7 44 93 49 14,https://www.onlycamp.fr/,,,"Berges de l'Yonne (riverbank location) suggests outdoor space with trees; campsite typically attracts families and outdoor enthusiasts, though star rating unknown."
249,Camping du Lac,camping,A,6.0,8.40,campingdulac.tuffe@orange.fr,,,Tuffé Val de la Chéronne,72160,"Lakeside camping suggests outdoor recreation focus and family audience; outdoor space and trees likely present, though budget and infrastructure scale uncertain."
250,Terrasses de Rivarennes,camping,A,6.0,8.40,contact@camping-les-terrasses-de-rivarennes.com,+33 2 47 95 70 12,http://www.camping-les-terrasses-de-rivarennes.com/accueil,Rivarennes,37190,"Campsite with kitchen amenity suggests good facilities; likely family audience and modest budget, but tree presence uncertain without site specifics."
251,Domaine du Nogentais,camping,A,6.0,8.40,contact@domaine-du-nogentais.fr,+33 3 25 21 54 80,,Saint-Nicolas-la-Chapelle,10400,"Tier-A camping in rural commune suggests outdoor family audience and potential budget; likely has trees for anchoring, though no explicit confirmation."
252,Camping Municipal de Nogent-sur-Seine,camping,A,6.0,8.40,campingmunicipalnogent@orange.fr,+33 3 25 39 76 67,https://tourisme-nogentais.fr/fr/sejourner/hebergements/campings-camping-cars/452014-camping-municipal-de-nogent-sur-seine,Nogent-sur-Seine,10400,2-star municipal campsite near river suggests family-oriented outdoor space; likely owns land long-term with mature vegetation suitable for installation.
253,"Camping ""Le Val d'Ante",camping,A,6.0,8.40,mairie.givryenargonne@wanadoo.fr,+33 3 26 60 01 59,https://www.tourisme-en-champagne.com/camping-le-val-dante/givry-en-argonne/hpa0000000000103,Givry-en-Argonne,51330,"Rural campsite with family audience, land ownership, and modest tier-A status suggests potential for $5k amenity investment; likely has trees."
254,Les Garennes De La Mer,camping,A,6.0,8.40,info@lesgarennes.fr,+33 2 35 83 10 44,https://lesgarennes.fr,Le Bourg-Dun,76740,"3-star coastal campsite with established infrastructure and family audience; seaside setting may have fewer trees than ideal, but premium tier and active recreation focus suggest reasonable fit."
255,Camping de l'Ancien Moulin,camping,A,6.0,8.40,campingdelancienmoulin@hotmail.fr,+33 3 44 87 22 47,https://www.campingdelancienmoulin.com/,,,"3-star campsite with moderate positioning; family-oriented with outdoor space, but no clear specialization in adventure activities or premium climbing infrastructure."
256,La Musardière,camping,A,6.0,8.40,lamusardiere91@orange.fr,+33 1 64 98 91 91,https://www.camping-lamusardiere.fr/,Milly-la-Forêt,91490,Family camping in Milly-la-Forêt (forest area) suggests mature trees and outdoor-oriented guests; decent fit if they have discretionary capital for amenities.
257,Camping des portes du Perche,camping,A,6.0,8.40,camping@mairie-mamers.fr,+33 662 492 471,http://www.camping-mamers.fr/,,,"3-star campsite in Perche region (rural, likely forested) with family audience; decent trees probable and some budget capacity, but no explicit activity focus."
258,Rêve de Bisons,camping,A,6.0,8.40,info@revedebisons.com,+33 2 35 04 15 04,https://www.revedebisons.com,Muchedent,76590,Established camping in rural Normandy with family audience and owned grounds; 'Rêve de Bisons' suggests nature/outdoor positioning. Tree coverage and budget capability reasonable.
